CUSTID,TYPEID,TYPENAME,CUSTNAME,ADDR1,ADDR2,CITY,STATE,ZIP,Company,Customer_SK
237,3,State/Local Government,Beverly Equipment,,7581 Quisque Street,Bloomington,HI,88440,PEC,71
238,2,Education,Firstfed America Bancorp Incorporation,,5656 Settler Street,Ward Prairie,TX,75840,PEC,72
239,2,Education,Ronan French,,8773 Feugiat Road,Gary,WA,17387,PEC,73
24,3,State/Local Government,Maya Brewer,P.O. Box 825,6836 Ad Road,Union City,ND,82051,PEC,74
240,3,State/Local Government,Zena Machines,,1277 Hendrerit Avenue,San Juan,WA,07066,PEC,75
25,3,State/Local Government,Mullins Incorporation,,4009 Ornare. Road,Birmingham,NE,59509,PEC,76
26,1,Commercial,Raphael Allison,,734-2598 Sed Avenue,La Crosse,HI,58702,PEC,77
27,2,Education,Martin Donaldson,,2704 At Road,Gardner,GA,31421,PEC,78
28,4,US Government,Gemma Castro,,9101 Duis Street,Passaic,VT,40926,PEC,79
29,1,Commercial,The Product Company (East),,20021 Barnes Road,Stratford,NY,13470,PEC,80
30,4,US Government,Specialty Teleconstructors Incorporation,,1570 Hordes Drive,Columbia,SC,29260,TPCE,81
31,1,Commercial,Room Plus Incorporation,Suite 836,6037 Ecuadorian Street,Clinton,MI,49236,TPCE,82
310,4,US Government,Saint Andrews Golf Corporation,,8068 Substances Street,North Miami,FL,33261,TPCE,83
311,1,Commercial,Synaptic Pharmaceutical Corporation,,8072 Powerless Street,Bridgeport,IL,62417,TPCE,84
312,4,US Government,Cohesant Technologies Incorporation,Dept #690,3334 Eggshell Circle,Oakley,SC,29461,TPCE,85
313,3,State/Local Government,Publishing Company Of North America Incorporation,Suite 518,978 Degrees Street,Heron Bay,AL,36523,TPCE,86
314,3,State/Local Government,Newcor Incorporation,Suite 401,8717 Involve Drive,Homer,MI,49245,TPCE,87
315,1,Commercial,Railamerica Incorporation,,576 Stew Turnpike,Mans De Navarro,PR,00778,TPCE,88
316,1,Commercial,Meridian Resources Corporation,Dept #804,1977 Symbiotic Turnpike,Fall River,MA,02724,TPCE,89
317,4,US Government,V E V SA,,7079 Aspect Circle,Ross Siding,PA,17723,TPCE,90
318,4,US Government,Scp Pool Corporation,Suite 251,755 Leek Street,Enid,OK,73706,TPCE,91
319,3,State/Local Government,Camera Platforms International Incorporation,,5347 Deposed Street,Houston,TX,77244,TPCE,92
32,2,Education,Motts Holdings Incorporation,,1618 Greenland Street,Tallahassee,FL,32304,TPCE,93
320,4,US Government,Labor Ready Incorporation,Dept #759,4618 Days Drive,Waterville,WA,98858,TPCE,94
321,3,State/Local Government,Shaw Brothers,Suite 371,2567 Cardinal Drive,Whiskey Flats,NV,89415,TPCE,95
322,3,State/Local Government,Chemfix Technologies Incorporation,Suite 50,11533 Wonderingly Drive,Pasadena Hills,MO,63121,TPCE,96
323,4,US Government,Ligand Pharmaceuticals Incorporation,,8092 Bluest Street,Moorcroft,WY,82721,TPCE,97
324,2,Education,Helpmate Robotics Incorporation,Suite 213,9711 Writers Turnpike,Saint Cloud,WI,53079,TPCE,98
325,4,US Government,Liberty Homes Incorporation,,3051 Bumblers Lane,Medon,TN,38356,TPCE,99
326,2,Education,Firstfed America Bancorp Incorporation,Dept #851,5656 Settler Street,Ward Prairie,TX,75840,TPCE,100
327,4,US Government,Lnr Property Corporation,,9382 Demolition Street,College Square,IA,50613,TPCE,101
328,3,State/Local Government,Gte Corporation,Dept #532,7196 Heaver Lane,Winter Garden,FL,34777,TPCE,102
329,3,State/Local Government,Usx - Steel Group Incorporation,,7120 Whimsically Turnpike,Olympia,WA,98501,TPCE,103
33,2,Education,Beckman Coulter Incorporation,,5841 Pervades Drive,Fairfax,VA,22035,TPCE,104
330,3,State/Local Government,Pulitzer Publishing Company,Suite 277,126 Pathological Circle,Woodbury,NY,11797,TPCE,105
331,3,State/Local Government,Setron,Dept #80,3085 Breakthrough Drive,Hart,MO,64865,TPCE,106
332,4,US Government,Greenman Technologies Incorporation,,4910 Liveried Boulevard,Dabney,IN,47023,TPCE,107
333,1,Commercial,Polymer Group Incorporation,Suite 204,11368 Harder Drive,Maidstone,VT,05905,TPCE,108
334,2,Education,Emerson Electric Co.,,1792 Squash Drive,South Texarkana,TX,75501,TPCE,109
335,4,US Government,Integral - A Hotel & Restaurant Company,Dept #822,5222 Blazed Street,Parsons,TN,38363,TPCE,110
336,4,US Government,Hickory Tech Corporation,Dept #633,11119 Periphery Turnpike,Simpson,LA,71474,TPCE,111
337,2,Education,Televideo Incorporation,Dept #793,939 Publishers Turnpike,Fort Hood,TX,76544,TPCE,112
338,4,US Government,Seattle Filmworks Incorporation,,4958 Dietitian Street,Davis,MO,63379,TPCE,113
339,1,Commercial,Pricellular Corporation,Dept #5,10947 Eagle Street,Lisbon Falls,ME,04252,TPCE,114
34,4,US Government,Magainin Pharmaceuticals Incorporation,Dept #332,9138 Planetesimal Lane,Twining,MI,48766,TPCE,115
340,1,Commercial,Processing Equipment Corporation,Dept #2,29843 Klingon Road,Naperville,IL,60563,TPCE,116
35,2,Education,Sterling Financial Corporation Washington,Dept #505,7258 Meriting Avenue,Portland,OR,97201,TPCE,117
36,3,State/Local Government,Fidelity National Corporation ,Dept #915,11455 Sheaf Drive,Anthony,FL,32617,TPCE,118
37,2,Education,Fedders Corporation,Dept #520,3311 Blatantly Circle,Santa Fe Springs,CA,90670,TPCE,119
38,2,Education,United Healthcare Corporation,Dept #855,675 Hordes Turnpike,Malaga,NM,88263,TPCE,120
39,4,US Government,Greate Bay Casino Corporation ,Dept #242,4255 Depart Lane,Randolph Air Force Base,TX,78148,TPCE,121
